, Valor do Produto ,Data de Venda,total mês,total dos 2 meses
263," R$ 1,997.00 ",28/05/2021,,
217," R$ 1,997.00 ",28/05/2021,,
216, R$ 250.00 ,28/05/2021,,
317," R$ 1,997.00 ",28/05/2021,,
211, R$ 250.00 ,28/05/2021,,
210, R$ 250.00 ,28/05/2021,,
209, R$ 250.00 ,28/05/2021,,
208, R$ 250.00 ,28/05/2021,,
207, R$ 250.00 ,28/05/2021,,
205," R$ 1,997.00 ",28/05/2021,,
204," R$ 1,997.00 ",28/05/2021,,
203," R$ 1,997.00 ",28/05/2021,,
202," R$ 1,997.00 ",28/05/2021,,
201," R$ 1,997.00 ",28/05/2021,,
199," R$ 1,997.00 ",28/05/2021,,
212, R$ 250.00 ,28/05/2021,,
175," R$ 1,997.00 ",28/05/2021,,
311, R$ 250.00 ,29/05/2021,,
338," R$ 1,997.00 ",29/05/2021,,
337," R$ 1,997.00 ",29/05/2021,,
336," R$ 1,997.00 ",29/05/2021,,
335," R$ 1,997.00 ",29/05/2021,,
334," R$ 1,997.00 ",29/05/2021,,
333," R$ 1,997.00 ",29/05/2021,,
332," R$ 1,997.00 ",29/05/2021,,
331," R$ 1,997.00 ",29/05/2021,,
330," R$ 1,997.00 ",29/05/2021,,
307, R$ 250.00 ,29/05/2021,,
328," R$ 1,997.00 ",29/05/2021,,
327," R$ 1,997.00 ",29/05/2021,,
308, R$ 250.00 ,29/05/2021,,
315," R$ 1,997.00 ",29/05/2021,,
314, R$ 250.00 ,29/05/2021,,
313, R$ 250.00 ,29/05/2021,,
312, R$ 250.00 ,29/05/2021,,
309, R$ 250.00 ,29/05/2021,,
339," R$ 1,997.00 ",29/05/2021,,
310, R$ 250.00 ,29/05/2021,,
349," R$ 2,064.90 ",29/05/2021,,
341," R$ 1,997.00 ",29/05/2021,,
346," R$ 2,064.90 ",29/05/2021,,
340," R$ 1,997.00 ",29/05/2021,,
342," R$ 1,997.00 ",29/05/2021,,
343," R$ 1,997.00 ",29/05/2021,,
344," R$ 1,997.00 ",29/05/2021," R$ 201,662.69 ",
18," R$ 1,997.00 ",3/6/2021,,
16, R$ 250.00 ,3/6/2021,,
15, R$ 250.00 ,3/6/2021,,
2," R$ 1,997.00 ",3/6/2021,,
3," R$ 1,997.00 ",3/6/2021,,
4," R$ 1,997.00 ",3/6/2021,,
5, R$ 250.00 ,3/6/2021,,
6, R$ 250.00 ,3/6/2021,,
7, R$ 250.00 ,3/6/2021,,
8, R$ 250.00 ,3/6/2021,,
9, R$ 250.00 ,3/6/2021,,
10, R$ 250.00 ,3/6/2021,,
11, R$ 250.00 ,3/6/2021,,
14, R$ 250.00 ,3/6/2021,,
13, R$ 250.00 ,3/6/2021,,
1," R$ 1,997.00 ",3/6/2021,,
19," R$ 1,997.00 ",3/6/2021,,
20," R$ 1,997.00 ",3/6/2021,,
36," R$ 1,997.00 ",3/6/2021,,
12, R$ 250.00 ,3/6/2021,,
39," R$ 1,997.00 ",3/6/2021,,
38," R$ 1,997.00 ",3/6/2021,,
37," R$ 1,997.00 ",3/6/2021,,
35," R$ 1,997.00 ",3/6/2021,,
21," R$ 1,997.00 ",3/6/2021," R$ 96,359.00 ",
279," R$ 1,997.00 ",30/05/2021,,
275," R$ 1,997.00 ",30/05/2021,,
274," R$ 1,997.00 ",30/05/2021,,
273," R$ 1,997.00 ",30/05/2021,,
272," R$ 1,997.00 ",30/05/2021,,
271," R$ 1,997.00 ",30/05/2021,,
270," R$ 1,997.00 ",30/05/2021,,
269," R$ 1,997.00 ",30/05/2021,,
266," R$ 1,997.00 ",30/05/2021,,
267," R$ 1,997.00 ",30/05/2021,,
276," R$ 1,997.00 ",30/05/2021,,
277," R$ 1,997.00 ",30/05/2021,,
305," R$ 1,997.00 ",30/05/2021,,
306, R$ 250.00 ,30/05/2021,,
278," R$ 1,997.00 ",30/05/2021,,
268," R$ 1,997.00 ",30/05/2021,,
280," R$ 1,997.00 ",30/05/2021,,
293," R$ 1,997.00 ",30/05/2021,,
326, R$ 250.00 ,30/05/2021,,
329, R$ 250.00 ,30/05/2021,,
347," R$ 2,064.90 ",30/05/2021,,
345," R$ 2,064.90 ",30/05/2021,,
295," R$ 1,997.00 ",31/05/2021,,
292," R$ 1,997.00 ",31/05/2021,,
294," R$ 1,997.00 ",31/05/2021,,
264, R$ 250.00 ,31/05/2021,,
265, R$ 250.00 ,31/05/2021,,
281, R$ 250.00 ,31/05/2021,,
283, R$ 250.00 ,31/05/2021,,
296," R$ 1,997.00 ",31/05/2021,,
282, R$ 250.00 ,31/05/2021,,
298," R$ 1,997.00 ",31/05/2021,,
299," R$ 1,997.00 ",31/05/2021,,
300," R$ 1,997.00 ",31/05/2021,,
301, R$ 250.00 ,31/05/2021,,
302, R$ 250.00 ,31/05/2021,,
303," R$ 1,997.00 ",31/05/2021,,
284, R$ 250.00 ,31/05/2021,,
297," R$ 1,997.00 ",31/05/2021," R$ 203,659.69 ",
25," R$ 1,997.00 ",4/6/2021,,
149," R$ 1,997.00 ",4/6/2021,,
148," R$ 1,997.00 ",4/6/2021,,
147," R$ 1,997.00 ",4/6/2021,,
146," R$ 1,997.00 ",4/6/2021,,
22," R$ 1,997.00 ",4/6/2021,,
24," R$ 1,997.00 ",4/6/2021,,
26," R$ 1,997.00 ",4/6/2021,,
23," R$ 1,997.00 ",4/6/2021,,
28, R$ 250.00 ,4/6/2021,,
87," R$ 1,997.00 ",4/6/2021,,
86," R$ 1,997.00 ",4/6/2021,,
85," R$ 1,997.00 ",4/6/2021,,
27," R$ 1,997.00 ",4/6/2021,,
63," R$ 1,997.00 ",4/6/2021,,
40, R$ 250.00 ,4/6/2021,,
31, R$ 250.00 ,4/6/2021,,
29, R$ 250.00 ,4/6/2021,,
34, R$ 250.00 ,4/6/2021,,
32, R$ 250.00 ,4/6/2021,,
33, R$ 250.00 ,4/6/2021,,
137, R$ 250.00 ,5/6/2021,,
132," R$ 1,997.00 ",5/6/2021,,
133, R$ 250.00 ,5/6/2021,,
162," R$ 1,997.00 ",5/6/2021,,
165," R$ 1,997.00 ",5/6/2021,,
166," R$ 1,997.00 ",5/6/2021,,
167," R$ 1,997.00 ",5/6/2021,,
168," R$ 1,997.00 ",5/6/2021,,
134, R$ 250.00 ,5/6/2021,,
169," R$ 1,997.00 ",5/6/2021,,
170," R$ 1,997.00 ",5/6/2021,,
171," R$ 1,997.00 ",5/6/2021,,
153," R$ 1,997.00 ",5/6/2021,,
152," R$ 1,997.00 ",5/6/2021,,
139, R$ 250.00 ,5/6/2021,,
140," R$ 1,997.00 ",5/6/2021,,
135, R$ 250.00 ,5/6/2021,,
136, R$ 250.00 ,5/6/2021,,
145, R$ 250.00 ,5/6/2021,,
144, R$ 250.00 ,5/6/2021,,
143, R$ 250.00 ,5/6/2021,,
142, R$ 250.00 ,5/6/2021,,
141, R$ 250.00 ,5/6/2021,,
138, R$ 250.00 ,5/6/2021,,
150, R$ 250.00 ,5/6/2021,,
156," R$ 1,997.00 ",6/6/2021,,
155," R$ 1,997.00 ",6/6/2021,,
107," R$ 1,997.00 ",6/6/2021,,
157," R$ 1,997.00 ",6/6/2021,,
158," R$ 1,997.00 ",6/6/2021,,
159," R$ 1,997.00 ",6/6/2021,,
160," R$ 1,997.00 ",6/6/2021,,
104," R$ 1,997.00 ",6/6/2021,,
163, R$ 250.00 ,6/6/2021,,
161, R$ 250.00 ,6/6/2021,,
172, R$ 250.00 ,6/6/2021,,
154," R$ 1,997.00 ",6/6/2021,,
151," R$ 1,997.00 ",6/6/2021,,
131," R$ 1,997.00 ",6/6/2021,,
130," R$ 1,997.00 ",6/6/2021,,
164, R$ 250.00 ,6/6/2021,,
105," R$ 1,997.00 ",6/6/2021,,
118," R$ 1,997.00 ",7/6/2021,,
109," R$ 1,997.00 ",7/6/2021,,
108," R$ 1,997.00 ",7/6/2021,,
106, R$ 250.00 ,7/6/2021,,
103, R$ 250.00 ,7/6/2021,,
88," R$ 1,997.00 ",7/6/2021,,
89," R$ 1,997.00 ",7/6/2021,,
90," R$ 1,997.00 ",7/6/2021,,
91," R$ 1,997.00 ",7/6/2021,,
92," R$ 1,997.00 ",7/6/2021,,
93," R$ 1,997.00 ",7/6/2021,,
127," R$ 1,997.00 ",7/6/2021,,
94," R$ 1,997.00 ",7/6/2021,,
96," R$ 1,997.00 ",7/6/2021,,
97, R$ 250.00 ,7/6/2021,,
98, R$ 250.00 ,7/6/2021,,
99, R$ 250.00 ,7/6/2021,,
100, R$ 250.00 ,7/6/2021,,
101, R$ 250.00 ,7/6/2021,,
102, R$ 250.00 ,7/6/2021,,
95," R$ 1,997.00 ",7/6/2021,,
128," R$ 1,997.00 ",8/6/2021,,
126, R$ 250.00 ,8/6/2021,,
114," R$ 1,997.00 ",8/6/2021,,
124, R$ 250.00 ,8/6/2021,,
123, R$ 250.00 ,8/6/2021,,
122, R$ 250.00 ,8/6/2021,,
121, R$ 250.00 ,8/6/2021,,
120, R$ 250.00 ,8/6/2021,,
119," R$ 1,997.00 ",8/6/2021,,
117," R$ 1,997.00 ",8/6/2021,,
116," R$ 1,997.00 ",8/6/2021,,
115," R$ 1,997.00 ",8/6/2021,,
262," R$ 1,997.00 ",8/6/2021,,
113," R$ 1,997.00 ",8/6/2021,,
112," R$ 1,997.00 ",8/6/2021,,
111," R$ 1,997.00 ",8/6/2021,,
110," R$ 1,997.00 ",8/6/2021,,
125, R$ 250.00 ,8/6/2021,,
350," R$ 2,064.90 ",8/6/2021," R$ 98,423.90 ",
,,,,
usd, $5.17 ,,," $203,659.69 "
,,,," $98,423.90 "
,,,,
,,Uma maneira simples de inferir o resuldado do proximo mês seria utilizando a médio dos ultimos mese, Média ," $151,041.80 "
